id,umetnik,letnica,naslov,lokacija
T07573,Marcel Duchamp,"('', 1917, 1917, ', replica 1964')",Fountain,"('Tate Modern', 'Level 4: Materials and Objects')"
T02343,Salvador Dalí,"('', 1937, 1937, '')",Metamorphosis of Narcissus,"('Tate Modern', 'Level 2: In the Studio')"
T03257,Salvador Dalí,"('', 1936, 1936, '')",Lobster Telephone,
T00648,Piet Mondrian,"('', 1937, 1942, '')","Composition with Yellow, Blue and Red","('Tate Liverpool', 'Constellations')"
T00414,Pablo Picasso,"('', 1913, 1913, '')","Bottle of Vieux Marc, Glass, Guitar and Newspaper","('Tate Modern', 'Level 4: Materials and Objects')"
N04948,Wassily Kandinsky,"('', 1910, 1911, '')",Cossacks,"('Tate Modern', 'Level 2: Start Display')"
T01988,Max Ernst,"('', 1921, 1921, '')",Celebes,"('Tate Modern', 'Level 2: In the Studio')"
T02011,Marcel Duchamp,"('', 1915, 1923, ', reconstruction by Richard Hamilton 1965–6, lower panel remade 1985')","The Bride Stripped Bare by her Bachelors, Even (The Large Glass)",
T01918,Raoul Hausmann,"('', 1919, 1920, '')",The Art Critic,
T07883,Man Ray,"('', 1921, 1921, ', editioned replica 1972')",Cadeau,"('Tate Modern', 'Level 4: Materials and Objects')"
T03977,Jackson Pollock,"('', 1948, 1948, '')",Summertime: Number 9A,
T07346,Dorothea Tanning,"('', 1943, 1943, '')",Eine Kleine Nachtmusik,
N05387,"Henry Moore OM, CH","('', 1938, 1938, '')",Recumbent Figure,"('Tate Britain', 'BP Spotlights')"
T00165,André Derain,"('', 1905, 1905, '')",Henri Matisse,
T01978,Salvador Dalí,"('', 1936, 1936, '')",Autumnal Cannibalism,"('Tate Modern', 'Level 2: Artist and Society')"
T02344,Wassily Kandinsky,"('', 1925, 1925, '')",Swinging,
T00445,Georges Braque,"('c.', 1910, 1912, '')",Bottle and Fishes,"('Tate Liverpool', 'Constellations')"
N05717,Paul Nash,"('', 1940, 1941, '')",Totes Meer (Dead Sea),"('Tate Britain', 'Paul Nash')"
N05035,Edvard Munch,"('', 1907, 1907, '')",The Sick Child,
T01589,Umberto Boccioni,"('', 1913, 1913, ', cast 1972')",Unique Forms of Continuity in Space,"('Tate Modern', 'Level 4: Media Networks')"
T02319,Kazimir Malevich,"('', 1915, 1915, ' or 1916')",Dynamic Suprematism,"('Tate Modern', 'Level 2: Artist and Society')"
T11781,Hans Bellmer,"('c.', 1936, 1936, '')",The Doll,
L01686,Alexander Calder,"('c.', 1932, 1932, '')",Mobile,
T00953,Dame Barbara Hepworth,"('', 1943, 1943, ', cast 1958')",Oval Sculpture (No. 2),"('Tate Modern', 'Level 2: Artist and Society')"
T00680,René Magritte,"('', 1928, 1928, '')",Man with a Newspaper,"('Tate Modern', 'Level 2: In the Studio')"
T01520,Naum Gabo,"('', 1916, 1916, ', enlarged version 1964')",Head No. 2,
N03177,Christopher Richard Wynne Nevinson,"('', 1915, 1915, '')",La Mitrailleuse,"('Tate Britain', 'BP Walk through British Art')"
T02312,Josef Albers,"('', 1964, 1964, '')",Study for Homage to the Square,
T01233,Robert Delaunay,"('', 1934, 1934, '')",Endless Rhythm,"('Tate Modern', 'Level 4: Media Networks')"
N05706,"Henry Moore OM, CH","('', 1940, 1940, '')",Grey Tube Shelter,
T07139,Sir Jacob Epstein,"('', 1940, 1941, '')",Jacob and the Angel,"('Tate Britain', 'BP Walk through British Art')"
T00699,Dame Barbara Hepworth,"('', 1946, 1946, '')",Pelagos,"('Tate Britain', 'BP Walk through British Art')"
P02911,"Henry Moore OM, CH","('', 1979, 1979, '')",The Artist’s Hand V,View by appointment
T01318,Joan Miró,"('', 1927, 1927, '')",Painting,"('Tate Modern', 'Level 2: In the Studio')"
T07957,Man Ray,"('', 1920, 1920, ', remade 1972')",L’Enigme d’Isidore Ducasse,
L01895,Pablo Picasso,"('', 1914, 1914, '')","Bowl of Fruit, Violin and Bottle",
N05915,Pablo Picasso,"('', 1909, 1909, '')",Bust of a Woman,"('Tate Modern', 'Level 2: In the Studio')"
T03846,Mark Gertler,"('', 1916, 1916, '')",Merry-Go-Round,"('Tate Britain', 'BP Walk through British Art')"
T02035,Fernand Léger,"('', 1921, 1922, '')",Still Life with a Beer Mug,"('Tate Modern', 'Level 4: Media Networks')"
T07507,Marcel Duchamp,"('', 1913, 1914, ', replica 1964')",3 stoppages étalon (3 Standard Stoppages),
T03809,Eileen Agar,"('', 1936, 1940, '')",Angel of Anarchy,"('Tate Britain', 'BP Walk through British Art')"
N05289,Max Ernst,"('', 1934, 1934, '')",The Entire City,"('Tate Modern', 'Level 2: In the Studio')"
P07117,Graham Sutherland OM,"('', 1930, 1930, '')",Pastoral,View by appointment
T03258,René Magritte,"('', 1937, 1937, '')",The Future of Statues,
N05667,Paul Nash,"('', 1936, 1938, '')",Landscape from a Dream,"('Tate Britain', 'Paul Nash')"
L01712,Pablo Picasso,"('', 1909, 1909, '')",Head of a Woman (Fernande),"('Tate Modern', 'Level 2: In the Studio')"
N05709,"Henry Moore OM, CH","('', 1941, 1941, '')",Tube Shelter Perspective,
T00384,Jackson Pollock,"('', 1948, 1948, '')",Number 23,
T00827,Naum Gabo,"('', 1919, 1920, ', replica 1985')",Kinetic Construction (Standing Wave),"('Tate Modern', 'Level 2: Artist and Society')"
T02310,Josef Albers,"('', 1963, 1963, '')",Study for Homage to the Square: Beaming,"('Tate Modern', 'Level 2: Start Display')"
T03863,Kurt Schwitters,"('', 1920, 1939, '')",Picture of Spatial Growths - Picture with Two Small Dogs,"('Tate Modern', 'Level 4: Materials and Objects')"
N06241,Henri Matisse,"('', 1905, 1905, '')",André Derain,
N05904,Pablo Picasso,"('', 1909, 1910, '')",Seated Nude,
T07645,André Fougeron,"('', 1953, 1953, '')",Atlantic Civilisation,"('Tate Modern', 'Level 4: Media Networks')"
N04719,Pablo Picasso,"('', 1923, 1923, '')",Seated Woman in a Chemise,
T03979,Jackson Pollock,"('c.', 1941, 1941, '')",Birth,
T07614,Man Ray,"('', 1923, 1923, ', remade 1933, editioned replica 1965')",Indestructible Object,
N05712,"Henry Moore OM, CH","('', 1941, 1941, '')",Shelterers in the Tube,"('Tate Britain', 'BP Spotlights')"
T03978,Jackson Pollock,"('', 1951, 1951, '')",Number 14,"('Tate Modern', 'Level 2: In the Studio')"
T01122,René Magritte,"('', 1928, 1928, '')",The Reckless Sleeper,
T00436,Jackson Pollock,"('', 1952, 1952, '')",Yellow Islands,
T00134,Paul Delvaux,"('', 1944, 1944, '')",Sleeping Venus,
T00891,David Smith,"('', 1964, 1964, '')",Cubi XIX,
T03252,Max Ernst,"('', 1923, 1923, '')",Pietà or Revolution by Night,
T00833,Georges Braque,"('', 1909, 1910, '')",Mandora,"('Tate Modern', 'Level 2: In the Studio')"
N06030,André Derain,"('', 1906, 1906, '')",The Pool of London,
N03846,Walter Richard Sickert,"('c.', 1914, 1914, '')",Ennui,
T06928,Pablo Picasso,"('', 1924, 1924, '')",Head of a Woman,
T12611,Pierre Bonnard,"('', 1925, 1925, '')",Nude in the Bath,
T01277,Vanessa Bell,"('', 1912, 1912, '')",Frederick and Jessie Etchells Painting,
T00548,Max Ernst,"('', 1927, 1927, '')",Forest and Dove,
T00656,David Bomberg,"('', 1914, 1914, '')",The Mud Bath,
N04495,Pierre Bonnard,"('', 1925, 1925, '')",The Bath,
T00336,Max Ernst,"('', 1923, 1923, '')",Men Shall Know Nothing of This,
T07560,Piet Mondrian,"('', 1935, 1935, '')",Composition B (No.II) with Red,"('Tate Modern', 'Level 2: Artist and Society')"
T03397,Jacques Lipchitz,"('', 1915, 1916, '')",Sculpture,
T01979,Salvador Dalí,"('', 1938, 1938, '')",Mountain Lake,
N05718,John Piper,"('', 1940, 1940, '')","St Mary le Port, Bristol","('Tate Britain', 'BP Walk through British Art')"
T00214,Kurt Schwitters,"('', 1937, 1938, '')",Opened by Customs,
T00432,László Moholy-Nagy,"('', 1922, 1922, '')",K VII,
L01710,Christian Schad,"('', 1927, 1927, '')",Self-Portrait,"('Tate Modern', 'Level 2: In the Studio')"
T03133,Dame Barbara Hepworth,"('', 1940, 1940, '')",Sculpture with Colour (Deep Blue and Red),"('Barbara Hepworth Museum and Sculpture Garden', 'Museum and Sculpture Garden')"
T06591,Ronald Moody,"('', 1936, 1936, '')",Johanaan,"('Tate Britain', 'BP Walk through British Art')"
L00097,Piet Mondrian,"('', 1935, 1935, '')","Composition C (No.III) with Red, Yellow and Blue","('Tate Modern', 'Level 2: Artist and Society')"
T03676,Christopher Richard Wynne Nevinson,"('', 1915, 1915, '')",Bursting Shell,"('Tate Liverpool', 'Constellations')"
P02907,"Henry Moore OM, CH","('', 1979, 1979, '')",The Artist’s Hand I,View by appointment
T00340,Sir Jacob Epstein,"('', 1913, 1914, '')",Torso in Metal from ‘The Rock Drill’,"('Tate Britain', 'BP Walk through British Art')"
T00915,Piet Mondrian,"('', 1920, 1920, '')",No. VI / Composition No.II,
T01251,Paul Nash,"('', 1935, 1935, '')",Equivalents for the Megaliths,"('Tate Britain', 'Paul Nash')"
T01931,Wyndham Lewis,"('c.', 1914, 1915, '')",Workshop,"('Tate Britain', 'BP Walk through British Art')"
N05747,Juan Gris,"('', 1914, 1914, '')",The Sunblind,
T00541,Alexander Calder,"('c.', 1953, 1953, '')",Antennae with Red and Blue Dots,"('Tate Modern', 'Level 2: Start Display')"
N05976,Giorgio de Chirico,"('', 1926, 1926, '')",The Painter’s Family,
T03690,Joan Miró,"('', 1938, 1938, '')",A Star Caresses the Breast of a Negress (Painting Poem),"('Tate Modern', 'Level 2: In the Studio')"
N05707,"Henry Moore OM, CH","('', 1941, 1941, '')",Woman Seated in the Underground,
T05028,Georges Braque,"('', 1909, 1910, '')",Glass on a Table,
T02053,George Grosz,"('', 1916, 1916, '')",Suicide,"('Tate Liverpool', 'Constellations')"
N05748,John Piper,"('', 1941, 1941, '')",Seaton Delaval,
N05005,Edward Burra,"('', 1934, 1934, '')",Dancing Skeletons,
T03327,Jackson Pollock,"('c.', 1938, 1940, '')",Naked Man with Knife,
T06676,Dame Barbara Hepworth,"('', 1934, 1934, '')",Mother and Child,"('Tate Britain', 'Paul Nash')"
N05758,Marc Chagall,"('', 1911, 1911, '')",The Green Donkey,
T03067,Ernst Ludwig Kirchner,"('', 1909, 1926, '')",Bathers at Moritzburg,
T04854,Jean Arp (Hans Arp),"('', 1932, 1932, ', cast c.1953–8')",Sculpture to be Lost in the Forest,"('Tate Liverpool', 'Constellations')"
T03707,Max Ernst,"('c.', 1924, 1924, '')",Dadaville,"('Tate Liverpool', 'Constellations')"
T03374,Theo van Doesburg,"('', 1925, 1925, '')",Counter-Composition VI,"('Tate Modern', 'Level 2: Artist and Society')"
T07552,Paul Nash,"('', 1944, 1944, '')",Flight of the Magnolia,"('Tate Britain', 'Paul Nash')"
T02318,Georges Braque,"('', 1911, 1911, '')",Clarinet and Bottle of Rum on a Mantelpiece,"('Tate Modern', 'Level 2: In the Studio')"
N05414,Pierre Bonnard,"('', 1915, 1915, '')",Coffee,"('Tate Modern', 'Level 2: In the Studio')"
T06807,Henri Laurens,"('', 1920, 1920, '')",Head of a Young Girl,
T07987,Dorothea Tanning,"('', 1952, 1952, '')",Some Roses and Their Phantoms,"('Tate Modern', 'Level 2: In the Studio')"
N04935,Edward Wadsworth,"('', 1937, 1937, '')",The Beached Margin,
L02264,Christian Schad,"('', 1929, 1929, '')","Agosta, the Pigeon-Chested Man, and Rasha, the Black Dove","('Tate Modern', 'Level 2: In the Studio')"
T07694,Sir William Orpen,"('', 1918, 1918, '')",Zonnebeke,
P11364,Pablo Picasso,"('', 1945, 1945, '')",Head of a Young Boy,
T07107,Constantin Brancusi,"('', 1926, 1926, '')",Fish,
T02039,Walter Richard Sickert,"('', 1892, 1892, '')",Minnie Cunningham at the Old Bedford,"('Tate Britain', 'BP Walk through British Art')"
T07007,Ben Nicholson OM,"('', 1934, 1936, '')",1934-6 (painting - still life),
P11360,Pablo Picasso,"('', 1936, 1936, '')","Faun Revealing a Sleeping Woman (Jupiter and Antiope, after Rembrandt)",
T03253,Marcel Duchamp,"('', 1911, 1911, '')",Coffee Mill,
T00110,Christopher Richard Wynne Nevinson,"('c.', 1913, 1913, '')",The Arrival,"('Tate Britain', 'BP Walk through British Art')"
T00892,René Magritte,"('', 1937, 1937, '')",The Spirit of Geometry,
T02080,Vanessa Bell,"('c.', 1912, 1912, '')",Studland Beach. Verso: Group of Male Nudes by Duncan Grant,
T03291,Lee Krasner,"('', 1961, 1961, '')",Gothic Landscape,"('Tate Modern', 'Level 2: In the Studio')"
N05390,Marc Chagall,"('', 1915, 1915, '')",The Poet Reclining,
T01771,Paul Nash,"('c.', 1936, 1936, '')",Swanage,"('Tate Britain', 'Paul Nash')"
T00696,Dame Barbara Hepworth,"('', 1935, 1935, '')",Three Forms,
T01108,Willem de Kooning,"('', 1966, 1967, '')",The Visit,
T05005,Jean Arp (Hans Arp),"('', 1933, 1933, '')",According to the Laws of Chance,
N05657,Paul Klee,"('', 1921, 1921, '')",Comedy,
T00920,Robert Delaunay,"('', 1912, 1912, '')","Windows Open Simultaneously (First Part, Third Motif)","('Tate Liverpool', 'Constellations')"
P02909,"Henry Moore OM, CH","('', 1979, 1979, '')",The Artist’s Hand III,View by appointment
T04119,Ben Nicholson OM,"('c.', 1936, 1936, '')",circa 1936 (sculpture),
N05677,Edward Bawden,"('c.', 1941, 1941, '')","Cairo, the Citadel: Mohammed Ali Mosque",
T03477,Eric Gill,"('', 1910, 1911, '')",Ecstasy,"('Tate Britain', 'BP Walk through British Art')"
T02054,"Henry Moore OM, CH","('', 1934, 1934, '')",Four-Piece Composition: Reclining Figure,
T01178,Willem de Kooning,"('', 1966, 1966, '')",Women Singing II,
T07920,Alexander Calder,"('', 1937, 1937, '')",Untitled,
N04494,Pierre Bonnard,"('', 1925, 1925, '')",The Window,
T11785,Dame Barbara Hepworth,"('', 1937, 1938, '')",Pierced Hemisphere II,
N05659,Paul Klee,"('', 1922, 1922, '')",A Young Lady’s Adventure,
N05774,Graham Sutherland OM,"('', 1946, 1946, '')",Crucifixion,
T01935,Vanessa Bell,"('c.', 1914, 1914, '')",Abstract Painting,"('Tate Britain', 'BP Walk through British Art')"
T00249,Christopher Richard Wynne Nevinson,"('', 1914, 1915, '')",Study for ‘Returning to the Trenches’,
T02309,Giorgio de Chirico,"('', 1916, 1916, '')",The Melancholy of Departure,
T00190,Naum Gabo,"('', 1941, 1941, '')",Spiral Theme,
P07659,Richard Hamilton,"('', 1973, 1973, '')",Picasso’s meninas,View by appointment
T04861,Ben Nicholson OM,"('c.', 1923, 1924, '')","1924 (first abstract painting, Chelsea)",
T01981,Alberto Giacometti,"('', 1930, 1930, '')",Hour of the Traces,"('Tate Modern', 'Level 2: In the Studio')"
T03548,Walter Richard Sickert,"('c.', 1906, 1906, '')",La Hollandaise,
P79319,Claude Cahun,"('', 1931, 1931, ' or 1932')",I Extend My Arms,"('Tate Modern', 'Level 2: In the Studio')"
T11982,Francis Picabia,"('', 1930, 1930, '')",Otaïti,
T06808,Juan Gris,"('', 1913, 1914, '')",Bottle of Rum and Newspaper,"('Tate Modern', 'Level 4: Media Networks')"
T01070,Gino Severini,"('', 1915, 1915, '')",Suburban Train Arriving in Paris,"('Tate Modern', 'Level 4: Media Networks')"
N04750,Robert Bevan,"('', 1912, 1912, '')",Horse Sale at the Barbican,
P02910,"Henry Moore OM, CH","('', 1979, 1979, '')",The Artist’s Hand IV,View by appointment
N06190,Graham Sutherland OM,"('', 1939, 1939, '')",Entrance to a Lane,
T01519,Alberto Giacometti,"('', 1932, 1933, '–1936, cast 1966')",Walking Woman,
T06815,Juan Gris,"('', 1924, 1924, '')",Still Life with Guitar,
T02314,Ben Nicholson OM,"('', 1934, 1934, '')",1934 (relief),"('Tate Modern', 'Level 2: Artist and Society')"
N05317,Harold Gilman,"('', 1916, 1917, '')",Mrs Mounter at the Breakfast Table,"('Tate Britain', 'BP Walk through British Art')"
T00242,Jean Arp (Hans Arp),"('c.', 1930, 1930, '')",Constellation According to the Laws of Chance,"('Tate Modern', 'Level 2: In the Studio')"
T00896,Bart van der Leck,"('', 1918, 1918, '')",Composition,
T04923,André Derain,"('c.', 1939, 1939, '')",The Painter and his Family,"('Tate Modern', 'Level 2: In the Studio')"
T11910,Leonora Carrington,"('', 1941, 1941, '')",I am an Amateur of Velocipedes,
T02211,Piet Mondrian,"('c.', 1913, 1913, '')",The Tree A,
P02908,"Henry Moore OM, CH","('', 1979, 1979, '')",The Artist’s Hand II,View by appointment
N04134,Pierre Bonnard,"('', 1925, 1925, '')",The Table,
T00707,Eileen Agar,"('', 1930, 1930, '')",Three Symbols,"('Tate Britain', 'BP Walk through British Art')"
P07142,El Lissitzky,"('', 1923, 1923, '')",5. Globetrotter (in Time),View by appointment
T00050,Ben Nicholson OM,"('', 1937, 1937, '')",June 1937 (painting),"('Tate Liverpool', 'Constellations')"
T06972,Naum Gabo,"('', 1917, 1917, ', reassembled 1981')",Model for ‘Constructed Torso’,
T02140,Ithell Colquhoun,"('', 1938, 1938, '')",Scylla,
T00240,"Henry Moore OM, CH","('', 1931, 1931, '')",Figure,"('Tate Britain', 'BP Walk through British Art')"
T01768,Vanessa Bell,"('', 1915, 1915, '')",Mrs St John Hutchinson,
N05953,Karl Schmidt-Rottluff,"('', 1915, 1915, '')",Woman with a Bag,
T01474,Friedrich Vordemberge-Gildewart,"('', 1925, 1925, '')",Composition No. 15,
T06948,Dorothy Cross,"('', 1993, 1993, '')",Virgin Shroud,
T07108,Francis Picabia,"('c.', 1924, 1926, ', c.1929–35')",The Handsome Pork-Butcher,
N05713,"Henry Moore OM, CH","('', 1941, 1941, '')",Pink and Green Sleepers,
T01078,Salvador Dalí,"('', 1936, 1936, '')",Forgotten Horizon,
T07041,Walter Richard Sickert,"('', 1915, 1915, '')",Brighton Pierrots,"('Tate Britain', 'BP Walk through British Art')"
T07109,Jean Dubuffet,"('', 1946, 1946, '')",Large Black Landscape,
N04567,Duncan Grant,"('', 1911, 1911, '')",Bathing,
N05405,Duncan Grant,"('', 1942, 1942, '')",Vanessa Bell,
T06978,Naum Gabo,"('', 1937, 1939, '')",Construction in Space (Crystal),
T07010,Dame Barbara Hepworth,"('', 1941, 1941, '')",Drawing for ‘Sculpture with Colour’ (Forms with Colour),
N05736,Graham Sutherland OM,"('', 1941, 1941, '')","Devastation, 1941: An East End Street",
P79916,Lucia Moholy,"('', 1925, 1926, '')","Bauhaus Building, Dessau","('Tate Modern', 'Level 2: Artist and Society')"
T05757,Duncan Grant,"('', 1944, 1944, '')",Garden Path in Spring,
T07992,Georges Braque,"('', 1945, 1945, '')",The Billiard Table,
T07521,Joan Miró,"('', 1925, 1925, '')",Head of a Catalan Peasant,
N05720,John Piper,"('', 1942, 1942, '')","Somerset Place, Bath",
T00713,Hans Bellmer,"('c.', 1937, 1952, '')",Peg-Top,"('Tate Modern', 'Level 2: In the Studio')"
T07110,Jean Dubuffet,"('', 1950, 1950, '')",The Tree of Fluids,"('Tate Liverpool', 'Constellations')"
T01077,Pierre Bonnard,"('c.', 1919, 1919, '')","Bathing Woman, Seen from the Back",
T01232,Matta (Roberto Matta Echaurren),"('', 1943, 1943, '')",Black Virtue,"('Tate Modern', 'Level 2: In the Studio')"
T02307,Raymond Duchamp-Villon,"('', 1914, 1914, ', cast 1961')",Large Horse,
N05077,Vanessa Bell,"('c.', 1922, 1923, '')",Nude,
T01133,Vanessa Bell,"('', 1914, 1914, '')",Still Life on Corner of a Mantelpiece,
T06871,Alfred Wallis,"('c.', 1938, 1939, '')",Wreck of the Alba,
T07274,Ben Nicholson OM,"('', 1936, 1936, '')",1936 (white relief sculpture - version 1),
T03408,Stanley William Hayter,"('', 1936, 1936, '')",Ophelia,
T00881,Alfred Wallis,"('c.', 1928, 1928, '')",St Ives,"('Tate Britain', 'BP Walk through British Art')"
T07959,Man Ray,"('', 1926, 1926, ', remade 1970')",Emak Bakia,
T03564,Raoul Dufy,"('', 1929, 1929, '')",The Wheatfield,
T01157,Hans Bellmer,"('', 1936, 1936, ', reconstructed 1965')",The Doll,
T03080,Jean Dubuffet,"('', 1947, 1947, '')",Monsieur Plume with Creases in his Trousers (Portrait of Henri Michaux),"('Tate Modern', 'Level 2: In the Studio')"
N05666,Graham Sutherland OM,"('', 1936, 1936, '')",Welsh Landscape with Roads,
N06025,Jean Arp (Hans Arp),"('', 1949, 1949, '')",Pagoda Fruit,
T04157,Paul Nash,"('c.', 1943, 1944, '')",Wittenham Clumps,
T03845,Francis Picabia,"('', 1922, 1922, '')",The Fig-Leaf,
T01846,Joseph Cornell,"('', 1950, 1950, '')","Planet Set, Tête Etoilée, Giuditta Pasta (dédicace)",
N05716,Paul Nash,"('', 1940, 1940, '')",The Messerschmidt in Windsor Great Park,"('Tate Britain', 'Paul Nash')"
N05392,Paul Nash,"('', 1932, 1942, '')",Pillar and Moon,"('Tate Britain', 'Paul Nash')"
T07958,Man Ray,"('', 1933, 1933, ', editioned replica 1973')",The Lovers,
T00813,William Roberts,"('', 1920, 1920, '')",The Cinema,"('Tate Britain', 'BP Walk through British Art')"
T07080,Yves Tanguy,"('', 1937, 1937, '')",Azure Day,"('Tate Modern', 'Level 2: In the Studio')"
T05030,John Piper,"('c.', 1933, 1934, '')",Beach with Starfish,
T00517,Auguste Herbin,"('', 1960, 1960, '')",Nude,
T05500,Raoul Dufy,"('', 1932, 1932, '')",The Kessler Family on Horseback,
N05004,Edward Burra,"('', 1934, 1934, '')",Harlem,
L01025,David Smith,"('', 1945, 1945, '')",Home of the Welder,"('Tate Modern', 'Level 2: In the Studio')"
N05715,Paul Nash,"('', 1940, 1940, '')",Bomber in the Corn,"('Tate Britain', 'Paul Nash')"
T07989,Dorothea Tanning,"('', 1969, 1970, '')",Nue couchée,
T02305,Hans Bellmer,"('c.', 1937, 1938, '')",The Doll,
T01913,Christopher Richard Wynne Nevinson,"('c.', 1913, 1914, '')",Dance Hall Scene,
T02306,Georges Vantongerloo,"('', 1919, 1919, '')",Interrelation of Volumes,
T00140,John Minton,"('', 1957, 1957, '')",Composition: The Death of James Dean,
T12390,Kurt Schwitters,"('', 1918, 1918, '')",Z 105 Portals of Houses,View by appointment
T06977,Naum Gabo,"('', 1938, 1940, '')",Construction in Space with Crystalline Centre,"('Tate Britain', 'BP Walk through British Art')"
N06248,Karl Schmidt-Rottluff,"('', 1919, 1919, '')",Dr Rosa Schapire,
T06737,Alberto Giacometti,"('', 1927, 1927, ', cast ?1964')",Composition (Man and Woman),
T00936,Pierre Bonnard,"('c.', 1919, 1919, '')",The Bowl of Milk,
T03096,Charles Ginner,"('', 1912, 1912, '')",Piccadilly Circus,
T02410,Albert Gleizes,"('', 1911, 1911, '')",Portrait of Jacques Nayral,
P77158,Willem de Kooning,"('', 1971, 1971, '')",Landscape at Stanton Street,View by appointment
T00239,Alfred Wallis,"('?c.', 1928, 1942, '')","Houses at St Ives, Cornwall",
T00049,Ben Nicholson OM,"('', 1935, 1935, '')",1935 (white relief),"('Tate Britain', 'BP Walk through British Art')"
T03085,Graham Sutherland OM,"('', 1939, 1940, '')",Black Landscape,
T02173,Naum Gabo,"('c.', 1937, 1937, '')",Model for ‘Spheric Theme’,
T13345,Francis Picabia,"('', 1919, 1919, '')",Alarm Clock,
T00297,Balthus (Balthasar Klossowski de Rola),"('', 1943, 1943, '')",Sleeping Girl,
L02668,Georges Braque,"('', 1909, 1909, '')",The Church of Carrières-Saint-Denis,
N05139,Graham Sutherland OM,"('', 1940, 1940, '')",Green Tree Form: Interior of Woods,"('Tate Britain', 'BP Walk through British Art')"
T07921,Jean Hélion,"('', 1934, 1934, '')",Abstract Composition,"('Tate Modern', 'Level 2: Artist and Society')"
N04655,Walter Richard Sickert,"('', 1894, 1894, '')",Aubrey Beardsley,
T03360,Walter Richard Sickert,"('', 1932, 1932, '')",Miss Earhart’s Arrival,"('Tate Britain', 'BP Spotlights')"
T06696,"Henry Moore OM, CH","('?', 1928, 1928, '')",Mask,
N06212,John Piper,"('', 1935, 1935, '')",Abstract I,
T00954,Dame Barbara Hepworth,"('', 1944, 1944, ', cast 1961')",Landscape Sculpture,
N05708,"Henry Moore OM, CH","('', 1941, 1941, '')",A Tilbury Shelter Scene,
T03565,Raoul Dufy,"('c.', 1926, 1927, '')",Open Window at Saint-Jeannet,
T00220,Alfred Wallis,"('?c.', 1935, 1936, '')",Voyage to Labrador,
N05688,Evelyn Dunbar,"('', 1945, 1945, '')",A Land Girl and the Bail Bull,"('Tate Britain', 'BP Walk through British Art')"
T02010,Vanessa Bell,"('', 1917, 1917, '')",The Tub,
T03691,Joan Miró,"('', 1964, 1964, '')",Message from a Friend,
T05804,Francis Picabia,"('c.', 1935, 1938, '')",Portrait of a Doctor,
N04515,Henri Gaudier-Brzeska,"('c.', 1913, 1913, '')",Red Stone Dancer,
T02169,Naum Gabo,"('', 1927, 1927, '')",Model for ‘Construction in Space ‘Two Cones’’,
T07960,Man Ray,"('', 1927, 1927, ', editioned replica 1973')",Ce qui manque à nous tous,
N05886,Wyndham Lewis,"('', 1913, 1913, '')",Composition,
P77584,Pablo Picasso,"('', 1970, 1970, '')","Etching: 11, 28 February 1970 3, 16, 30 March 1970 (L.13)",
N06234,John Nash,"('', 1918, 1918, '')",The Cornfield,
P77585,Pablo Picasso,"('', 1970, 1970, '')",Etching: 19 February 1970 (L.16),
T00291,Alfred Wallis,"('?c.', 1934, 1934, '')",The Blue Ship,
