id,umetnik,letnica,naslov,lokacija
N05552,Lucien Pissarro,"('', 1916, 1916, '')","Ivy Cottage, Coldharbour: Sun and Snow",
T04863,André Derain,"('c.', 1938, 1943, '')",Still Life,
T00118,Henry Lamb,"('', 1914, 1914, '')",Lytton Strachey,
T03960,Winifred Nicholson,"('', 1928, 1929, '')",Flower Table,
T00550,Albert Gleizes,"('', 1921, 1921, '')",Painting,"('Tate Modern', 'Level 4: Media Networks')"
P07147,El Lissitzky,"('', 1923, 1923, '')",10. New Man,View by appointment
L01613,René Magritte,"('', 1967, 1967, '')",The Healer,
T01084,Jessica Dismorr,"('c.', 1915, 1915, '')",Abstract Composition,"('Tate Modern', 'Level 4: Media Networks')"
T00914,David Bomberg,"('c.', 1914, 1914, '')",Study for ‘In the Hold’,
T06545,Pierre Bonnard,"('', 1915, 1915, '')",Preparatory Sketch for ‘Coffee’,"('Tate Modern', 'Level 2: In the Studio')"
T03206,Paul Nash,"('', 1932, 1936, '')",Harbour and Room,"('Tate Britain', 'Paul Nash')"
T00241,"Henry Moore OM, CH","('', 1932, 1932, '')",Half-Figure,"('Tate Britain', 'BP Spotlights')"
N05675,John Armstrong,"('', 1940, 1940, '')","Coggeshall Church, Essex",
P01864,Salvador Dalí,"('', 1973, 1973, '')",King of Aragon,View by appointment
T02311,Josef Albers,"('', 1963, 1963, '')",Study for Homage to the Square,
T02215,Ivon Hitchens,"('', 1932, 1932, '')","Autumn Composition, Flowers on a Table","('Tate Britain', 'BP Walk through British Art')"
T00324,Man Ray,"('', 1938, 1938, '')",Pisces,
P77137,Jean Dubuffet,"('', 1944, 1944, ', published 1945')",Typist [from ‘Matter and Memory’],View by appointment
T00689,Wyndham Lewis,"('?exhibited ', 1915, 1915, '')",The Crowd,
T12612,Pierre Bonnard,"('c.', 1936, 1938, '')",The Yellow Boat,
T06520,Dame Barbara Hepworth,"('', 1932, 1932, '')",Sculpture with Profiles,
T00834,Graham Sutherland OM,"('', 1944, 1944, '')",Horned Forms,
N04727,Henri Rousseau (`Le Douanier’),"('c.', 1909, 1910, '')",Bouquet of Flowers,
T00952,Dame Barbara Hepworth,"('', 1929, 1930, '')",Figure of a Woman,
N05943,Raoul Dufy,"('', 1933, 1933, '')","Deauville, Drying the Sails",
P07355,Sonia Delaunay,"('', 1913, 1913, '')",Prose on the Trans-Siberian Railway and of Little Jehanne of France,"('Tate Modern', 'Level 4: Media Networks')"
T00151,Sir Sidney Nolan,"('', 1957, 1957, '')",Women and Billabong,
T02007,Jean Arp (Hans Arp),"('', 1961, 1961, '')",Winged Being,
N05078,Vanessa Bell,"('', 1921, 1921, '')",Interior with a Table,
N06086,Sir Matthew Smith,"('', 1916, 1916, '')","Nude, Fitzroy Street, No. 1",
T00197,Victor Pasmore,"('', 1943, 1944, '')",The Quiet River: The Thames at Chiswick,
P02067,Graham Sutherland OM,"('', 1925, 1925, '')",Cray Fields,View by appointment
T02243,Paul Nash,"('', 1938, 1938, '')",In the Marshes,"('Tate Britain', 'Paul Nash')"
T03162,Willem de Kooning,"('', 1972, 1972, '')",Seated Figure on a Bench,
AL00143,August Sander,"('', 1925, 1926, ', printed 1991')",The Painter Otto Dix and his Wife Martha,
N05215,John Piper,"('', 1940, 1940, '')","The Dairy, Fawley Court",View by appointment
P77138,Joan Miró,"('', 1959, 1959, '')",Constellations,View by appointment
T02171,Naum Gabo,"('c.', 1928, 1928, '')",Model for ‘Torsion’,
T07008,Ben Nicholson OM,"('', 1934, 1934, '')",1934 project for Massine for Beethoven 7th Symphony Ballet,
P13005,Josef Albers,"('', 1933, 1933, '')",Circle,View by appointment
N05722,Eric Ravilious,"('', 1940, 1940, '')",Submarines in Dry Dock,
T07924,Alfred Wallis,"('date not known ', 1900, 1900, '-45')",Boats at Rest in Mount’s Bay,
T06602,Edgar Hubert,"('', 1935, 1936, '')",Painting,
T01328,Duncan Grant,"('', 1914, 1914, '')",The Mantelpiece,
T03492,Jacques Lipchitz,"('', 1916, 1916, '')",Sculpture,
T11789,Clive Branson,"('', 1940, 1940, '')",Bombed Women and Searchlights,"('Tate Britain', 'BP Walk through British Art')"
N05711,"Henry Moore OM, CH","('', 1941, 1941, '')",Shelter Scene: Bunks and Sleepers,
T00385,"Henry Moore OM, CH","('', 1932, 1932, '')",Composition,"('Tate Modern', 'Level 2: In the Studio')"
T01182,Pierre Roy,"('', 1928, 1928, '')",A Naturalist’s Study,
N05437,Wyndham Lewis,"('', 1923, 1935, '')",Edith Sitwell,"('Tate Britain', 'BP Walk through British Art')"
T01744,Duncan Grant,"('', 1914, 1914, '')",Abstract Kinetic Collage Painting with Sound,
P79320,Claude Cahun,"('', 1936, 1936, '')",Untitled,
T02079,Sir William Coldstream,"('', 1974, 1976, '')",Reclining Nude,
T03131,Dame Barbara Hepworth,"('', 1935, 1935, '')",Three Forms (Carving in Grey Alabaster),"('Barbara Hepworth Museum and Sculpture Garden', 'Museum and Sculpture Garden')"
P07138,El Lissitzky,"('', 1923, 1923, '')",1. Part of the Show Machinery,View by appointment
T07582,Paule Vézelay,"('', 1935, 1935, '')",Five Forms,"('Tate Britain', 'BP Walk through British Art')"
N05743,Graham Sutherland OM,"('', 1944, 1944, '')",Furnaces,
T03054,Naum Gabo,"('', 1935, 1937, '')",Construction on a Line,
T00698,Dame Barbara Hepworth,"('', 1938, 1938, '')",Forms in Echelon,"('Tate Britain', 'BP Walk through British Art')"
P07358,Joan Miró,"('', 1976, 1976, '')",The Conductor,
T06831,Renato Guttuso,"('', 1962, 1962, '')",Still Life in the Studio,
T03119,Ben Nicholson OM,"('', 1939, 1944, '')",1939-44 (painted relief),
T03922,John Piper,"('', 1947, 1948, '')",Yarnton Monument,
P07146,El Lissitzky,"('', 1923, 1923, '')",9. Gravediggers,View by appointment
N06181,Duncan Grant,"('c.', 1910, 1911, '')",Dancers,
N05737,Graham Sutherland OM,"('', 1941, 1941, '')","Devastation, 1941: East End, Burnt Paper Warehouse",
T12277,Duncan Grant,"('c.', 1913, 1913, '')",The Ass,"('Tate Britain', 'BP Walk through British Art')"
T01104,Willem de Kooning,"('', 1966, 1967, '')",Untitled,
N05719,John Piper,"('', 1942, 1942, '')","All Saints Chapel, Bath",
T00583,Eric Gill,"('', 1928, 1928, '')",Eve,
T03066,Constantin Brancusi,"('c.', 1919, 1923, '')",Head,
T03488,Jacques Lipchitz,"('', 1920, 1920, '')",Seated Man with Clarinet I,
N06024,Paul Nash,"('', 1934, 1937, '')",Voyages of the Moon,"('Tate Britain', 'Paul Nash')"
T02185,Naum Gabo,"('', 1952, 1952, '')",Model for ‘Linear Construction No. 3 with Red’,
N03836,Vanessa Bell,"('', 1920, 1920, '')",Chrysanthemums,
N04232,Félix Vallotton,"('', 1922, 1922, '')",Road at St Paul (Var),
T05486,Oskar Kokoschka,"('', 1941, 1942, '')",Loreley,
T02167,Naum Gabo,"('', 1920, 1921, '')",Model for ‘Column’,
T00657,Yves Tanguy,"('', 1951, 1951, '')",The Invisibles,
T00317,Diego Rivera,"('', 1916, 1916, '')",Still Life,
T00617,John Cecil Stephenson,"('', 1937, 1937, '')",Painting,
N06078,"Henry Moore OM, CH","('', 1931, 1931, '')",Girl,
T03129,Dame Barbara Hepworth,"('', 1929, 1929, '')",Infant,
T00697,Dame Barbara Hepworth,"('', 1937, 1938, ', cast 1963')",Single Form (Eikon),"('Tate Liverpool', 'Constellations')"
T00766,Jean Hélion,"('', 1935, 1935, '')",Ile de France,
T11911,Leonora Carrington,"('', 1941, 1941, '')",Do You Know My Aunt Eliza?,
N06183,Graham Sutherland OM,"('', 1953, 1953, '')",Head III,"('Tate Modern', 'Level 2: In the Studio')"
N05914,Walter Richard Sickert,"('', 1896, 1896, '')","St Mark’s, Venice (Pax Tibi Marce Evangelista Meus)",
T00625,Wyndham Lewis,"('', 1915, 1915, '')",Vorticist Composition,
T03460,James Boswell,"('', 1937, 1937, '')",Le Sphinx,
T02175,Naum Gabo,"('c.', 1966, 1968, '')",Model for ‘Monument to the Astronauts’,
T03566,Raoul Dufy,"('', 1931, 1931, '')",The Kessler Family on Horseback,
T01076,Pierre Bonnard,"('', 1923, 1923, '')",Nude Bending Down,
T07882,Man Ray,"('', 1920, 1920, ', editioned replica 1973')",New York,
T07646,Desmond Morris,"('', 1976, 1976, '')",The Arena,
T02179,Naum Gabo,"('', 1937, 1937, '')",Model for ‘Construction in Space ‘Crystal’’,
T00496,Spencer Gore,"('', 1913, 1913, '')",The Gas Cooker,
P02066,Graham Sutherland OM,"('', 1925, 1925, '')",Pecken Wood,View by appointment
T03400,Sir Roland Penrose,"('', 1939, 1939, '')",Portrait,"('Tate Modern', 'Level 2: In the Studio')"
T00368,Henri Matisse,"('', 1907, 1907, '')",Standing Nude,
P03042,Eric Kennington,"('c.', 1917, 1917, '')",Making Soldiers: In the Trenches,View by appointment
P77271,Max Ernst,"('', 1949, 1949, '')",Untitled from ‘La Brebis galante’,View by appointment
N05929,Augustus John OM,"('', 1944, 1944, '')",Matthew Smith,
T01143,Duncan Grant,"('c.', 1915, 1915, '')",Interior at Gordon Square,"('Tate Modern', 'Level 2: In the Studio')"
T07988,Dorothea Tanning,"('', 1965, 1965, '')",Pincushion to Serve as Fetish,
N05951,Ben Nicholson OM,"('', 1928, 1928, '')","1928 (foothills, Cumberland)","('Tate Britain', 'BP Walk through British Art')"
T00217,Robert Delaunay,"('', 1909, 1910, '')",Study for ‘The City’,
T00019,George Grosz,"('', 1930, 1930, '')",A Married Couple,
N05724,Eric Ravilious,"('', 1941, 1941, '')",Shelling by Night,
N06249,Karl Schmidt-Rottluff,"('', 1912, 1912, '')",Two Women,
N05646,André Masson,"('', 1935, 1935, '')",Ibdes in Aragon,
T05504,Jean Arp (Hans Arp),"('c.', 1925, 1925, '')",Moustaches,
T02064,Eileen Agar,"('', 1938, 1938, '')",The Reaper,"('Tate Britain', 'Paul Nash')"
P07144,El Lissitzky,"('', 1923, 1923, '')",7. Troublemaker,View by appointment
T06546,Pierre Bonnard,"('', 1915, 1915, '')",Preparatory Sketch for ‘Coffee’,"('Tate Modern', 'Level 2: In the Studio')"
T02142,Naum Gabo,"('c.', 1925, 1925, '')",Circular Relief,
T00106,Wyndham Lewis,"('', 1912, 1913, '')",Planners: Happy Day,
P02068,Graham Sutherland OM,"('', 1938, 1938, '')",Clegyr Boia,View by appointment
T02315,Jean Crotti,"('', 1920, 1920, '')",Portrait of Edison,
N05975,Victor Pasmore,"('', 1942, 1942, '')",Reclining Nude,
T06466,Peter Lanyon,"('', 1948, 1948, '')",Headland,
N06085,Graham Sutherland OM,"('', 1950, 1951, '')",The Origins of the Land,
T06998,David Bomberg,"('', 1942, 1942, '')",Bomb Store,
T04926,John Minton,"('', 1939, 1939, '')",Landscape at Les Baux,
T02133,Raoul Dufy,"('', 1923, 1923, '')",The Baou de Saint-Jeannet,
N05749,Vanessa Bell,"('', 1931, 1931, '')",Pheasants,
T06974,Naum Gabo,"('', 1925, 1925, ', reassembled 1986')",Model for ‘Rotating Fountain’,
T04887,John Minton,"('', 1945, 1945, '')",Children by the Sea,
N04651,Walter Richard Sickert,"('', 1930, 1930, '')",The Front at Hove (Turpe Senex Miles Turpe Senilis Amor),"('Tate Britain', 'BP Spotlights')"
T00723,Duncan Grant,"('c.', 1913, 1913, '')",The Tub,
T00734,Paul Nash,"('', 1931, 1931, '')",Kinetic Feature,"('Tate Britain', 'Paul Nash')"
T12215,Josef Albers,"('', 1951, 1951, '')",Homage to the Square: Study for Nocturne,
N05723,Eric Ravilious,"('', 1940, 1940, '')",Midnight Sun,
P07356,Joan Miró,"('', 1969, 1969, '')",The Matador,
T01960,Spencer Gore,"('', 1912, 1912, '')",The Cinder Path,
T00221,Walter Richard Sickert,"('', 1935, 1935, '')","Sir Alec Martin, KBE","('Tate Britain', 'BP Spotlights')"
N05993,Sir Sidney Nolan,"('', 1950, 1950, '')",Inland Australia,
P07013,David Bomberg,"('c.', 1914, 1919, '')",vi,
T01725,Paule Vézelay,"('', 1938, 1938, '')",Construction. Grey Lines on Pink Ground,"('Tate Modern', 'Level 2: Artist and Society')"
T00492,Eileen Agar,"('', 1960, 1960, '')",Head of Dylan Thomas,
N05254,Paul Nash,"('', 1939, 1939, '')",Grotto in the Snow,
T05767,Kurt Schwitters,"('', 1944, 1944, '')",Red Wire Sculpture,
L01609,David Smith,"('', 1952, 1952, '')",Agricola VIII,
N05129,Paul Nash,"('', 1940, 1940, '')","London: Winter Scene, No. 2",
T01779,Roger Fry,"('c.', 1912, 1912, '')",River with Poplars,
T00466,André Bauchant,"('', 1940, 1940, '')",The Funeral Procession of Alexander the Great,
T00020,George Grosz,"('c.', 1925, 1925, '')",Drawing for ‘The Mirror of the Bourgeoisie’,
T01957,Roger Fry,"('', 1914, 1914, ' or 1915')",Essay in Abstract Design,
N05729,Leonard Rosoman,"('', 1942, 1942, '')",Bomb Falling into Water,
T01968,Alfred Wallis,"('c.', 1928, 1928, '')",String of Boats,
T00732,Arthur Jackson,"('', 1937, 1937, '')",Painting,
N05725,Eric Ravilious,"('', 1942, 1942, '')",Tiger Moth,
T12260,William Ratcliffe,"('c.', 1914, 1914, '')",Hampstead Garden Suburb from Willifield Way,
P11393,Naum Gabo,"('', 1965, 1968, '')",Opus 12,View by appointment
N05276,Charles Ginner,"('', 1937, 1937, '')","Flask Walk, Hampstead, on Coronation Day",
N05093,Walter Richard Sickert,"('c.', 1901, 1901, '')","Venice, la Salute",
T03398,Edward Wadsworth,"('', 1928, 1928, '')",Regalia,
N05714,Rodrigo Moynihan,"('', 1943, 1943, '')","Private Clarke, A.T.S.",
P07202,Ben Nicholson OM,"('', 1934, 1934, '')",abstract,View by appointment
T01219,Jean Arp (Hans Arp),"('', 1920, 1954, '')",Torn-Up Woodcut,
T04124,Margaret Mellis,"('', 1942, 1942, '')",Sobranie Collage,
T00693,Jack Butler Yeats,"('', 1923, 1923, '')",Morning after Rain,
T02145,Naum Gabo,"('', 1930, 1930, '')",Construction in a Niche,
T00551,Amédée Ozenfant,"('c.', 1922, 1926, '')",Glasses and Bottles,
P06460,Man Ray,"('', 1969, 1969, '')",Untitled II,View by appointment
P12117,Ellsworth Kelly,"('', 1979, 1979, '')",Saint Martin Landscape,
T06447,Walter Richard Sickert,"('', 1907, 1907, '')","Girl at a Window, Little Rachel","('Tate Britain', 'BP Walk through British Art')"
T03952,Ben Nicholson OM,"('c.', 1932, 1932, '')",circa 1932 (nude),
P07140,El Lissitzky,"('', 1923, 1923, '')",3. Postman,View by appointment
N05660,Jack Butler Yeats,"('', 1942, 1942, '')",The Two Travellers,
N05734,Graham Sutherland OM,"('', 1940, 1940, '')","Devastation, 1940: A House on the Welsh Border",
P79321,Claude Cahun,"('', 1936, 1936, '')","Crystal Heads, British Museum, London, June-July 1936","('Tate Modern', 'Level 2: In the Studio')"
T00826,Naum Gabo,"('c.', 1960, 1960, '')",Bronze Spheric Theme,
P03050,Christopher Richard Wynne Nevinson,"('', 1917, 1917, '')",In the Air,View by appointment
N05764,Duncan Grant,"('c.', 1909, 1909, '')",Lytton Strachey. Verso: Crime and Punishment,
T01514,Duncan Grant,"('c.', 1919, 1919, '')",Venus and Adonis,
T00294,Duncan Grant,"('', 1902, 1902, '')",The Kitchen,
T07516,David Smith,"('', 1964, 1964, '')",Wagon II,
T00817,Sonia Delaunay,"('', 1963, 1963, '')",Triptych,"('Tate Modern', 'Level 4: Media Networks')"
T03399,Dame Barbara Hepworth,"('', 1936, 1936, '')","Ball, Plane and Hole",
T01026,John Piper,"('', 1934, 1934, ', 1967')",Construction,
T07123,Dame Barbara Hepworth,"('', 1933, 1933, '')",Two Forms,
T06973,Naum Gabo,"('', 1921, 1925, ', reassembled 1986')",Construction in Space: Diagonal,
N05694,Barnett Freedman,"('', 1943, 1943, '')",Interior of a Submarine,
T03529,Jacques Lipchitz,"('', 1922, 1922, '')",Guitar Player in Armchair,
T01527,Antoine Pevsner,"('', 1943, 1944, '')",For the Facade of a Museum,
P03046,Christopher Richard Wynne Nevinson,"('', 1917, 1917, '')",Assembling Parts,View by appointment
T05811,John Piper,"('', 1941, 1941, '')",Figure Drawing,
N05462,Pierre Bonnard,"('', 1913, 1915, '')",Pont de la Concorde,
N05735,Graham Sutherland OM,"('', 1941, 1941, '')","Devastation, 1941: East End, Wrecked Public House",
L02306,Vanessa Bell,"('', 1915, 1915, '')",Iris Tree,
T00152,Victor Pasmore,"('', 1941, 1941, '')",Nude,
P79318,Claude Cahun,"('', 1936, 1936, '')",Untitled,View by appointment
T04161,Paul Nash,"('', 1936, 1936, '')",Landscape at Large,"('Tate Britain', 'Paul Nash')"
T02188,Naum Gabo,"('', 1955, 1955, '')","Model for a Construction at the Bijenkorf Building, Rotterdam",
N03843,Paul Nash,"('', 1921, 1922, '')",Tench Pond in a Gale,"('Tate Britain', 'Paul Nash')"
T06975,Naum Gabo,"('', 1933, 1933, ', this version c.1936–7')",Construction: Stone with a Collar,"('Tate Liverpool', 'Constellations')"
N05710,"Henry Moore OM, CH","('', 1941, 1941, '')",Pale Shelter Scene,"('Tate Britain', 'BP Spotlights')"
T00172,Rodrigo Moynihan,"('c.', 1935, 1936, '')",Objective Abstraction,
T00944,Ben Nicholson OM,"('', 1932, 1932, '')",1932 (Auberge de la Sole Dieppoise),"('Tate Britain', 'BP Walk through British Art')"
P07118,Edward Wadsworth,"('c.', 1918, 1918, '')",View of a Town,
T03154,Dame Barbara Hepworth,"('', 1943, 1944, ', cast 1967')",The Artist’s Hand,"('Barbara Hepworth Museum and Sculpture Garden', 'Museum and Sculpture Garden')"
T01113,Marlow Moss,"('', 1949, 1949, '')","Composition in Yellow, Black and White",
N05741,Graham Sutherland OM,"('', 1942, 1942, '')",Miner Probing a Drill Hole,
T00421,Patrick George,"('', 1958, 1958, '')",Natalie Dower,
N03684,Harold Gilman,"('c.', 1913, 1913, '')","Canal Bridge, Flekkefjord",
T01969,Alfred Wallis,"('c.', 1928, 1928, '')",P.Z. 11,
N05687,Sir William Coldstream,"('', 1943, 1943, '')",Havildar Ajmer Singh,"('Tate Britain', 'BP Walk through British Art')"
T03377,Sir Roland Penrose,"('', 1936, 1967, '')",The Last Voyage of Captain Cook,
N05990,Fernand Léger,"('', 1928, 1928, '')",Keys (Composition),
N05075,Duncan Grant,"('', 1920, 1920, '')","Landscape, Sussex",
T05835,John Piper,"('', 1942, 1942, '')",Nude,
P77185,Jean Dubuffet,"('', 1946, 1946, '')",Inhabited Landscape,
T00163,Frances Hodgkins,"('c.', 1929, 1929, '')",Still Life,
N05430,Walter Richard Sickert,"('', 1911, 1911, '')",Off to the Pub,
N05050,Charles Ginner,"('', 1911, 1911, '')",The Café Royal,
T05810,John Piper,"('', 1941, 1941, '')",Figure Drawing,
T06806,Henri Laurens,"('', 1917, 1917, '')",Bottle and Glass,
N03666,Duncan Grant,"('', 1910, 1910, '')",Lemon Gatherers,
P07200,Ben Nicholson OM,"('', 1933, 1933, '')",Foxy and Frankie (2),View by appointment
T01123,Vanessa Bell,"('c.', 1915, 1915, '')",Helen Dudley,
T01171,Naum Gabo,"('', 1960, 1964, '')",Torsion (Project for a Fountain),
T03113,Graham Sutherland OM,"('', 1952, 1952, '')",Standing Forms II,
T07585,Sir William Coldstream,"('', 1940, 1940, '')","Fort Burgoyn, Dover",View by appointment
P09152,John Piper,"('', 1944, 1944, '')",ii,
N05099,Spencer Gore,"('', 1911, 1911, '')",Mornington Crescent,
P07027,Stanley William Hayter,"('', 1940, 1940, '')",Myth of Creation,
T00147,Henri Gaudier-Brzeska,"('', 1913, 1913, '')",Sophie Brzeska,
N05907,Fernand Léger,"('', 1927, 1927, '')",Leaves and Shell,
T03838,John Craxton,"('', 1948, 1948, '')",Pastoral for P.W.,
T02196,Naum Gabo,"('', 1965, 1965, '')","Model for ‘Construction in Space, Suspended’",
N05701,Anthony Gross,"('', 1945, 1945, '')",Final Stages of the German War: Krupp’s Works at Essen,
N06075,Sir Max Beerbohm,"('', 1907, 1907, '')",The New English Art Club,
T00758,Cuthbert Hamilton,"('', 1919, 1920, '')",Reconstruction,
N05100,Spencer Gore,"('c.', 1914, 1914, '')",Richmond Park,
N05091,Walter Richard Sickert,"('', 1906, 1906, '')",Woman Washing her Hair,
T07707,André Fougeron,"('', 1937, 1937, '')",The Four Horsemen of the Apocalypse,
N05727,Albert Richards,"('', 1944, 1944, '')",Withdrawing from the Battery after the Battery’s Guns Had Been Destroyed.,
N05991,Fernand Léger,"('', 1928, 1928, '')",Playing Card and Pipe,
N05883,Sir William Coldstream,"('', 1937, 1938, '')",Inez Spender,
T07696,Keith Vaughan,"('', 1946, 1946, '')",Cain and Abel,
T01254,Maurice de Vlaminck,"('', 1913, 1913, '')",Landscape near Martigues,
T04137,Steven Campbell,"('', 1985, 1985, '')",The Dangerous Early and Late Life of Lytton Strachey,
P79915,Lucia Moholy,"('', 1926, 1926, '')","Bauhaus Building, Dessau, view from the vestibule window looking toward the workshop wing","('Tate Modern', 'Level 2: Artist and Society')"
T01574,Georges Vantongerloo,"('', 1936, 1936, '')",No. 98 2478 Red/135 Green,
T01770,Rodrigo Moynihan,"('', 1935, 1935, '')",Painting,
T03205,Paul Nash,"('', 1937, 1937, '')",Three Rooms,
T00230,William Roberts,"('', 1919, 1919, '')",The Diners,
T03128,Dame Barbara Hepworth,"('', 1928, 1928, '')",Torso,
N06015,Simon Bussy,"('c.', 1920, 1920, '')",Lady Ottoline Morrell,
P77348,Max Ernst,"('', 1947, 1947, '')",Dangerous Correspondances,
T03167,William Ratcliffe,"('', 1918, 1918, '')",Attic Room,
N06174,Walter Richard Sickert,"('c.', 1914, 1915, '')",The New Bedford,
P07145,El Lissitzky,"('', 1923, 1923, '')",8. Old Man (Head 2 Steps behind),View by appointment
N05314,Walter Richard Sickert,"('', 1895, 1896, '')","Interior of St Mark’s, Venice","('Tate Britain', 'BP Walk through British Art')"
T00109,Edward Wadsworth,"('', 1915, 1915, '')",Abstract Composition,
T00443,B.A.R. Carter,"('', 1960, 1960, '')",Nude Model,
T01087,Alfred Wallis,"('?c.', 1932, 1932, '')",‘The Hold House Port Mear Square Island Port Mear Beach’,
N05257,John Armstrong,"('', 1940, 1940, '')",Icarus,
T03737,Eric Gill,"('', 1929, 1929, '')",The North Wind,"('Tate Britain', 'BP Walk through British Art')"
T00605,Mark Gertler,"('', 1922, 1922, '')",Queen of Sheba,
T05007,Jean Arp (Hans Arp),"('', 1954, 1954, '')",Danger of Death,
P03045,Christopher Richard Wynne Nevinson,"('', 1917, 1917, '')",Making the Engine,View by appointment
T06521,Spencer Gore,"('', 1910, 1910, '')",Rule Britannia,"('Tate Britain', 'BP Walk through British Art')"
T01970,Alfred Wallis,"('c.', 1928, 1928, '')",Two Boats,
T01471,Edward Burra,"('', 1930, 1930, '')",Keep your Head,
N04273,Harold Gilman,"('c.', 1913, 1913, '')",Leeds Market,
L02877,Leonora Carrington,"('', 1960, 1960, '')",Eluhim,
T03368,André Derain,"('c.', 1919, 1920, '')",Madame Derain in a White Shawl,
T06673,Prunella Clough,"('', 1951, 1951, '')",Man Hosing Metal Fish Boxes,"('Tate Britain', 'BP Walk through British Art')"
N04166,Georges Braque,"('', 1925, 1925, '')",Glass and Plate of Apples,
N03169,Duncan Grant,"('', 1912, 1912, '')",The Queen of Sheba,
N03558,Spencer Gore,"('', 1913, 1913, '')","From a Window in Cambrian Road, Richmond",
L03066,Paul Klee,"('', 1927, 1927, '')",Ships in the Dark,"('Tate Modern', 'Level 2: In the Studio')"
N04487,Eric Gill,"('', 1929, 1929, '')",The East Wind,"('Tate Britain', 'BP Walk through British Art')"
T06446,John Piper,"('', 1944, 1944, '')","Glaciated Rocks, Nant Ffrancon",
T02146,Naum Gabo,"('', 1928, 1936, '')",Torsion,
T00624,Helen Saunders,"('c.', 1915, 1915, '')",Abstract Multicoloured Design,
T06738,Eileen Agar,"('c.', 1965, 1965, '')",Fish Basket,
T03461,James Boswell,"('', 1937, 1937, '')","Le Sphinx, 4 a.m. Verso: Three figure drawings",
T02177,Naum Gabo,"('c.', 1935, 1937, '')",Model for ‘Construction Through a Plane’,
T06829,Renato Guttuso,"('', 1956, 1956, '')",Santa Panagia (Sicily),
P13073,William Roberts,"('', 1927, 1927, '')",‘The Withered Root’ by Rhys Davies,View by appointment
T01859,Spencer Gore,"('', 1912, 1912, '')","The Beanfield, Letchworth",
N03807,Mark Gertler,"('', 1912, 1912, '')",Portrait of a Girl,
T11787,Clive Branson,"('c.', 1930, 1930, '')",Portrait of a Worker,
T01528,Iwan Puni (Jean Pougny),"('c.', 1915, 1916, '')",Relief,
T05770,John Minton,"('', 1956, 1956, '')",Portrait of Kevin Maybury,
P07139,El Lissitzky,"('', 1923, 1923, '')",2. The Announcer,View by appointment
T02181,Naum Gabo,"('', 1941, 1941, '')",Model for ‘Spiral Theme’,
T02178,Naum Gabo,"('c.', 1937, 1937, '')",Model for ‘Construction on a Line’,
T03745,Eric Gill,"('', 1920, 1920, '')",St Sebastian,"('Tate Britain', 'BP Walk through British Art')"
N06079,Rodrigo Moynihan,"('', 1951, 1951, '')",Portrait Group,
N04612,Edouard Vuillard,"('', 1900, 1900, '')",Landscape - House on the Left,
N05145,Edouard Vuillard,"('c.', 1908, 1908, '')",The Laden Table,
T00251,Jean Metzinger,"('', 1919, 1919, '')",Woman with a Coffee Pot,
T00363,Sir Jacob Epstein,"('c.', 1913, 1913, '')",Study for ‘The Rock Drill’,
