id,umetnik,letnica,naslov,lokacija
P07137,El Lissitzky,"('', 1923, 1923, '')",[title page],View by appointment
T06813,Juan Gris,"('', 1924, 1924, '')",Bowl of Fruit,
T01336,Gerardo Dottori,"('', 1910, 1910, '')",Explosion of Red on Green,
P03015,Sir Frank Brangwyn,"('c.', 1917, 1917, '')",Making Sailors: ‘Duff’,View by appointment
N05388,Eric Gill,"('', 1927, 1928, '')",Mankind,
T05485,Oskar Kokoschka,"('', 1942, 1942, '')",Marianne-Maquis,
T03836,John Craxton,"('', 1942, 1942, '')",Dreamer in Landscape,
P03048,Christopher Richard Wynne Nevinson,"('', 1917, 1917, '')",Sweeping Down on a Taube,View by appointment
N05092,Walter Richard Sickert,"('', 1914, 1914, '')",Tipperary,
N05313,Walter Richard Sickert,"('', 1924, 1924, '')",L’Armoire à Glace,
AL00042,August Sander,"('', 1929, 1929, ', printed 1990')",Inventor and Dadaist [Raoul Hausmann],
T00671,Sir Roland Penrose,"('', 1938, 1938, '')",Le Grand Jour,
N05045,Walter Richard Sickert,"('c.', 1900, 1900, '')","Les Arcades de la Poissonnerie, Dieppe",
T03766,Kurt Schwitters,"('', 1926, 1928, ', reconstructed 1958')",The Autumn Crocus,
N04934,John Armstrong,"('', 1938, 1938, '')",Dreaming Head,
P07143,El Lissitzky,"('', 1923, 1923, '')",6. Sportsmen,View by appointment
T02206,Naum Gabo,"('', 1937, 1937, '')",Model for ‘Construction in Space ‘Arch’’,
N05690,Richard Eurich,"('', 1941, 1941, '')",Night Raid on Portsmouth Docks,
T13227,Harold Gilman,"('c.', 1912, 1912, '')",Nude at a Window,
T03561,Spencer Gore,"('', 1913, 1913, '')",The Artist’s Wife,
T12162,Julian Trevelyan,"('', 1937, 1937, '')",Rubbish May be Shot Here,
N05695,Charles Ginner,"('', 1942, 1942, '')",Emergency Water Storage Tank,
T03865,Tristram Hillier,"('', 1939, 1939, '')",Variation on the Form of an Anchor,
T07809,Ethel Sands,"('?', 1920, 1920, 's')",Flowers in a Jug,
N05691,Richard Eurich,"('', 1942, 1943, '')","The Landing at Dieppe, 19th August 1942",
N05739,Graham Sutherland OM,"('', 1941, 1942, '')",A Foundry: Hot Metal has been Poured into a Mould and Inflammable Gas is Rising,
N06143,Duncan Grant,"('c.', 1921, 1921, '')",Still Life with Carrots,
T03807,André Breton,"('', 1942, 1942, '')",I Saluted at Six Paces Commandant Lefebvre des Noëttes (Poem object),
T03130,Dame Barbara Hepworth,"('', 1932, 1933, '')",Seated Figure,"('Barbara Hepworth Museum and Sculpture Garden', 'Museum and Sculpture Garden')"
N04436,Edouard Vuillard,"('c.', 1910, 1910, '')",Girl in an Interior,
P01786,Josef Albers,"('', 1966, 1966, '')",White Line Square IV,View by appointment
T00223,Walter Richard Sickert,"('', 1935, 1935, '')",Claude Phillip Martin,"('Tate Britain', 'BP Spotlights')"
T12995,Douglas Fox Pitt,"('', 1912, 1912, '')",The Stafford Gallery,View by appointment
T00108,Wyndham Lewis,"('c.', 1912, 1912, '')",Two Mechanics,
N05740,Graham Sutherland OM,"('', 1941, 1942, '')",Tapping a Blast Furnace,
P03049,Christopher Richard Wynne Nevinson,"('', 1917, 1917, '')",Banking at 4000 Feet,View by appointment
P03036,Archibald Standish Hartrick,"('c.', 1917, 1917, '')",Women’s Work: On Munitions - Heavy Work (Drilling and Casting),
T01759,John Wells,"('', 1941, 1941, '')",Relief Construction,
T06822,André Masson,"('', 1955, 1955, '')","Star, Winged Being, Fish",
L03237,Sir Jacob Epstein,"('', 1910, 1910, ', 1931–1933')",Sun God (verso: Primeval Gods),"('Tate Britain', 'BP Walk through British Art')"
T00101,Roger Fry,"('c.', 1912, 1912, '')",Still Life: Flowers,
T01142,Alexander Calder,"('c.', 1936, 1936, '')",T and Swallow,
N05731,Alan Sorrell,"('', 1944, 1944, '')",Southampton Dock,
T04946,Denton Welch,"('c.', 1940, 1940, '')",Harvest,
T00090,Keith Vaughan,"('', 1951, 1951, '')",Leaping Figure,
T07704,André Fougeron,"('', 1950, 1950, '')",The Cock Fighters,
T06666,Martin Bradley,"('', 1954, 1954, '')",Personnage Jaune,
N04566,Duncan Grant,"('', 1911, 1911, '')",Football,
P03047,Christopher Richard Wynne Nevinson,"('', 1917, 1917, '')",Acetylene Welding,
T06810,Juan Gris,"('', 1921, 1921, '')",Overlooking the Bay,
T07922,John Piper,"('', 1934, 1934, '')","Construction, Intersection",
T12918,Jack Butler Yeats,"('', 1952, 1952, '')",A Rose Among Many Waters,
T01472,Conroy Maddox,"('', 1940, 1940, '')",The Strange Country,
N05692,Richard Eurich,"('', 1942, 1942, '')",Survivors from a Torpedoed Ship,
P07900,Joan Miró,"('', 1952, 1952, '')",Series II,
N05288,Walter Richard Sickert,"('', 1915, 1916, '')",The Little Tea Party: Nina Hamnett and Roald Kristian,
N04996,Albert Rutherston,"('', 1906, 1906, '')",Laundry Girls,"('Tate Britain', 'BP Walk through British Art')"
T07732,Cecil Collins,"('', 1938, 1938, '')",The Quest,
T03068,Sir William Coldstream,"('', 1937, 1937, '')",On the Map,
T00259,Walter Richard Sickert,"('', 1929, 1929, '')",The Servant of Abraham,"('Tate Britain', 'BP Spotlights')"
N05555,Harold Gilman,"('c.', 1913, 1913, '')",The Artist’s Mother,
T03555,Sir Sidney Nolan,"('', 1955, 1955, '')",Carcase in Swamp,
T02144,Naum Gabo,"('c.', 1926, 1926, '')",Red Cavern,
T01124,Edward Wadsworth,"('', 1932, 1932, '')",Dux et Comes I,"('Tate Britain', 'Paul Nash')"
N01355,James Bolivar Manson,"('c.', 1923, 1923, '')",Michaelmas Daisies,
N05911,Robert Bevan,"('c.', 1910, 1910, '')",The Cab Horse,"('Tate Britain', 'BP Walk through British Art')"
T00420,Renato Guttuso,"('', 1959, 1960, '')",The Discussion,
T03132,Dame Barbara Hepworth,"('', 1935, 1935, ', cast 1959')",Discs in Echelon,
P03004,Sir Muirhead Bone,"('c.', 1917, 1917, '')",Building Ships: A Shipyard Seen from a Big Crane,View by appointment
P11018,Cecil Collins,"('', 1944, 1944, '')",The Fool,View by appointment
T03401,Joan Miró,"('', 1949, 1949, '')",Woman,
N06237,Frances Hodgkins,"('', 1930, 1930, '')",Wings over Water,
T03954,Paule Vézelay,"('', 1930, 1930, '')",Curves and Circles,"('Tate Modern', 'Level 2: In the Studio')"
T05006,Jean Arp (Hans Arp),"('', 1943, 1943, '')",Impish Fruit,
T03837,John Craxton,"('', 1944, 1945, '')",Dark Landscape,
P05474,Joan Miró,"('', 1964, 1964, '')",Untitled,View by appointment
T03057,"John Bigge (Sir John Amherst Selby-Bigge, Bt)","('', 1933, 1933, '')",Composition,"('Tate Britain', 'Paul Nash')"
P02970,Karl-Otto Götz,"('', 1953, 1953, '')",Untitled,
N04615,Alan L. Durst,"('', 1930, 1930, '')",Feline,
N05095,Walter Richard Sickert,"('c.', 1901, 1901, '')",Pierrot and Woman Embracing,
T03324,Peter Lanyon,"('', 1939, 1940, '')",White Track,
P03002,Sir Muirhead Bone,"('c.', 1917, 1917, '')",Building Ships: A Shipyard,View by appointment
T07808,Ethel Sands,"('c.', 1911, 1912, '')",Tea with Sickert,
N06029,Edward Wadsworth,"('', 1942, 1942, '')",Signals,
P07141,El Lissitzky,"('', 1923, 1923, '')",4. Anxious People,View by appointment
T05854,Michael Ayrton,"('', 1949, 1950, '')",The Captive Seven,
T12572,Július Koller,"('', 1970, 1970, '')",NO ART!,
T00350,Walter Richard Sickert,"('', 1913, 1914, '')",Study for ‘Ennui’,
T00096,Harold Gilman,"('c.', 1907, 1907, '')",Edwardian Interior,
P03012,Sir Frank Brangwyn,"('c.', 1917, 1917, '')",Making Sailors: The Lookout,View by appointment
T03499,Jacques Lipchitz,"('', 1916, 1917, '')",Seated Bather,
N05738,Graham Sutherland OM,"('', 1941, 1942, '')",Feeding a Steel Furnace,
N05094,Walter Richard Sickert,"('c.', 1899, 1899, '')","Dieppe, Study No. 2; Facade of St Jacques",View by appointment
T11790,Clive Branson,"('', 1940, 1940, '')",Blitz: Plane Flying,
P07357,Joan Miró,"('', 1969, 1969, '')",The Great Carnivore,
T03819,Sir Roland Penrose,"('', 1983, 1983, '')",House the Light-house,
T07404,Boris Taslitzky,"('', 1936, 1936, '')",The Strikes of June 1936,"('Tate Liverpool', 'Constellations')"
T00622,Helen Saunders,"('c.', 1915, 1915, '')",Monochrome Abstract Composition,
T01780,Roger Fry,"('c.', 1919, 1921, '')",Still Life with T’ang Horse,
T11857,André Masson,"('', 1934, 1934, '')",Montserrat,
N04722,Georges Braque,"('', 1925, 1925, '')",Bather,
T07431,Boris Taslitzky,"('', 1951, 1951, '')",Riposte,
N05836,Jack Butler Yeats,"('', 1945, 1945, '')","The Death of Diarmuid, the Last Handful of Water",
P07119,Edward Wadsworth,"('c.', 1915, 1915, '')",The Port,
N05765,Duncan Grant,"('', 1910, 1910, '')",James Strachey,
N05089,Walter Richard Sickert,"('', 1920, 1920, '')",Baccarat - the Fur Cape,
N04748,Lucien Pissarro,"('', 1918, 1918, '')","All Saints’ Church, Hastings: Sun and Mist",
N05835,Mark Gertler,"('', 1918, 1918, '')",The Tea Pot,
N06250,Karl Schmidt-Rottluff,"('', 1917, 1917, '')",Male Head,
T05497,Jean Hélion,"('', 1952, 1952, '')",Nude with Loaves,
N05171,Duncan Grant,"('', 1940, 1940, '')",Girl at the Piano,
N05947,Renato Guttuso,"('', 1949, 1949, '')",Sulphur Miners,
T06818,André Masson,"('', 1962, 1962, '')",Kitchen-maids,
T00623,Helen Saunders,"('c.', 1915, 1915, '')",Abstract Composition in Blue and Yellow,
N05935,Juan Gris,"('', 1924, 1924, '')",Violin and Fruit-Dish,
T02021,Sir Roland Penrose,"('', 1938, 1938, '')",Magnetic Moths,
P07028,Stanley William Hayter,"('', 1946, 1946, '')",Le Chas de l’aiguille,View by appointment
P03043,Eric Kennington,"('c.', 1917, 1917, '')",Making Soldiers: Over the Top,View by appointment
N05087,Walter Richard Sickert,"('c.', 1917, 1917, '')","Belvedere, Bath",
T00838,Henri Gaudier-Brzeska,"('', 1913, 1913, ', cast c.1965–6')",Maternity,
N03839,Spencer Gore,"('', 1912, 1912, '')",Houghton Place,
T01911,Paule Vézelay,"('', 1936, 1936, '')",Forms,"('Tate Modern', 'Level 2: In the Studio')"
T06548,John Skeaping,"('', 1929, 1930, '')",Fish,
T01044,Mark Gertler,"('', 1934, 1934, '')",Mandolinist,
T00164,Walter Richard Sickert,"('c.', 1912, 1912, '')",Harold Gilman,
T03359,William Ratcliffe,"('', 1912, 1912, '')",Clarence Gardens,
T13565,Bruce Turner,"('c.', 1912, 1912, '')",Pavlova,"('Tate Britain', 'BP Walk through British Art')"
T00035,John Nash,"('', 1955, 1955, '')",Fallen Tree,
T02391,Gordon Onslow-Ford,"('', 1942, 1942, '')",A Present for the Past,
T03955,Paule Vézelay,"('', 1935, 1935, '')",Forms on Grey,
T00100,Wyndham Lewis,"('', 1923, 1924, '')",Mrs Schiff,
N05090,Walter Richard Sickert,"('', 1908, 1908, '')",L’Américaine,
T03704,Sir William Coldstream,"('', 1952, 1953, '')",Seated Nude,
T00162,John Minton,"('', 1946, 1946, '')",Street and Railway Bridge,
N05831,Harold Gilman,"('c.', 1910, 1910, '')",Lady on a Sofa,
N05704,Eric Kennington,"('', 1941, 1941, '')","Sergeant H.D. Parker, R.A.F.",
T01961,David Bomberg,"('c.', 1913, 1914, '')",Sketches for ‘The Dancer’,
T00722,Alan L. Durst,"('', 1929, 1929, '')",Girl Binding her Hair,
T00837,Henri Gaudier-Brzeska,"('', 1914, 1914, ', cast 1965')",Wrestlers,
T00219,Alfred Wallis,"('?c.', 1935, 1936, '')",Schooner under the Moon,
T02180,Naum Gabo,"('', 1938, 1938, '')",Model for ‘Construction in Space with Crystalline Centre’,
T00942,Sam Haile,"('', 1939, 1939, '')",Surgical Ward,"('Tate Britain', 'BP Walk through British Art')"
T00310,Jacques Lipchitz,"('', 1915, 1915, ', later cast')",Head,
N05461,Graham Bell,"('', 1937, 1938, '')",Miss Anne Popham,
T00931,David Smith,"('', 1964, 1964, '')",Painting 1964,
N05874,Frank Dobson,"('', 1933, 1933, '')",Torso,
T14105,John Akomfrah,"('', 2012, 2012, '')",The Unfinished Conversation,
T07586,Sir William Coldstream,"('', 1945, 1948, '')","Nude, Camberwell",View by appointment
N05689,Sir Jacob Epstein,"('', 1943, 1943, '')",The Rt Hon. Ernest Bevin,
N05700,Anthony Gross,"('', 1944, 1944, '')",Gateway into Germany: The Maas in Flood near the Berg Bridge,
N05125,Ben Nicholson OM,"('', 1933, 1933, '')",1933 (guitar),
N04747,Lucien Pissarro,"('', 1894, 1894, '')","April, Epping",
P09131,John Piper,"('', 1978, 1978, '')",[no title],View by appointment
T06863,Arturo Martini,"('', 1928, 1928, ', cast 1928 or 1929')",Torso of a Young Man,
T12205,Josef Albers,"('c.', 1945, 1945, '')",Untitled Abstraction V,
N06192,Michel Larionov,"('c.', 1913, 1914, '')",Nocturne,
T01778,Roger Fry,"('', 1891, 1891, '')","Landscape with Shepherd, near Villa Madama, Rome",
T03611,Michael Ayrton,"('', 1942, 1943, '')",The Temptation of St Anthony,
N06042,Mario Sironi,"('', 1916, 1916, '')",The Syphon,
L01024,David Smith,"('', 1956, 1956, '')",The Five Spring,
T00717,Lawrence Atkinson,"('c.', 1915, 1920, '')",The Lake,View by appointment
L01610,David Smith,"('', 1964, 1964, '')",Untitled (Zig VI?),
T06820,André Masson,"('c.', 1923, 1924, '')",Guitar and Profile,
T00878,William Roberts,"('', 1913, 1913, '')",The Return of Ulysses,
P13006,Josef Albers,"('', 1933, 1933, '')",Homeward,View by appointment
T11748,Leslie Hurry,"('', 1944, 1945, '')","This Extraordinary Year, 1945",
P03001,Sir Muirhead Bone,"('c.', 1917, 1917, '')",Building Ships: Ready for Sea,View by appointment
P03006,Sir Muirhead Bone,"('c.', 1917, 1917, '')",Building Ships: A Fitting Out Basin,View by appointment
T05573,Leslie Hurry,"('', 1940, 1940, '')",Grace Sholto Douglas,
T00307,Ceri Richards,"('', 1937, 1938, '')",Two Females,"('Tate Britain', 'BP Walk through British Art')"
T02143,Naum Gabo,"('', 1936, 1936, ', replica 1968')",Construction in Space ‘Two Cones’,
L01441,Sir William Coldstream,"('', 1937, 1937, '')",Standing Nude,
P77196,Keith Vaughan,"('', 1948, 1948, '')",Figure in a Churchyard,
N05133,Percy Horton,"('', 1934, 1934, '')",The Invalid,
T00882,Charles Biederman,"('', 1954, 1965, '')","Structurist Relief, Red Wing No. 20",
T00184,Robert Colquhoun,"('', 1958, 1958, '')",Woman with Still Life,
N06238,Stanislawa De Karlowska,"('c.', 1907, 1907, '')",Fried Fish Shop,"('Tate Britain', 'BP Walk through British Art')"
T02193,Naum Gabo,"('', 1950, 1950, 's')",Model for Hanging Construction,
N05948,Renato Guttuso,"('', 1949, 1949, '')",Campieri,
P80042,Edmund Collein,"('c.', 1926, 1926, '')","Untitled (Material Study by Otti Berger, Josef Albers’ Preliminary Course, Bauhaus Dessau)",
N06231,Mark Gertler,"('', 1913, 1913, '')",Jewish Family,
T00640,Conroy Maddox,"('', 1963, 1963, '')",Winter Criminal Term,
T00001,Keith Vaughan,"('', 1953, 1953, '')","Demolished Houses in St John’s Wood, No. 2",
T03213,Humphrey Jennings,"('', 1939, 1939, '')",Swiss Roll,
T00887,Julian Trevelyan,"('', 1936, 1936, '')",A Symposium,
P07011,David Bomberg,"('c.', 1914, 1919, '')",iv,
P11662,James Boswell,"('', 1942, 1942, '')",Gosfield Street Murder,View by appointment
T13034,Henri Gaudier-Brzeska,"('', 1914, 1914, '')",Fish,
T00446,Spencer Gore,"('', 1912, 1912, '')",Study for a Mural Decoration for ‘The Cave of the Golden Calf’,
N05771,Rodrigo Moynihan,"('', 1945, 1945, '')",Still Life with Skull,
T02076,Robert Colquhoun,"('', 1946, 1946, '')",The Fortune Teller,
T06997,Eric Gill,"('', 1929, 1929, '')",Model for Sculpture: The South Wind,"('Tate Britain', 'BP Walk through British Art')"
P11657,James Boswell,"('', 1933, 1933, '')",The Fall of London: Museum,
N05988,Edward Wadsworth,"('', 1919, 1919, '')","Granite Quarries, Darby Hill, Oldbury",
N04675,Spencer Gore,"('', 1912, 1912, '')",Letchworth,
P09133,John Piper,"('', 1978, 1978, '')",[no title],View by appointment
T06976,Naum Gabo,"('c.', 1932, 1948, '')",Monument for an Airport,
T07810,Anna Hope Hudson,"('After ', 1927, 1927, '')",Chateau d’Auppegard,
T03736,Eric Gill,"('c.', 1913, 1913, '')",Crucifix,
T03810,Prunella Clough,"('', 1946, 1946, '')",The White Root,
T00222,Walter Richard Sickert,"('', 1935, 1935, '')",Lady Martin,"('Tate Britain', 'BP Spotlights')"
N05686,Sir Muirhead Bone,"('', 1940, 1940, '')",Torpedoed Oil Tanker,
T06544,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
P11660,James Boswell,"('', 1933, 1933, '')",The Fall of London: The Colosseum,
T06784,Tristram Hillier,"('', 1933, 1933, '')",Composition 1933 (Interior),
T01322,Frank Dobson,"('', 1921, 1921, '')",The Man Child,
T05812,John Piper,"('', 1941, 1941, '')",Figure Drawing,
T05025,David Gascoyne,"('', 1936, 1936, '')",Perseus and Andromeda,
N05557,Mark Gertler,"('', 1911, 1911, '')",The Artist’s Mother,
P03011,Sir Frank Brangwyn,"('c.', 1917, 1917, '')",Making Sailors: Youthful Ambition,View by appointment
T00237,John Minton,"('', 1947, 1947, '')","Corte, Corsica",View by appointment
T00027,Spencer Gore,"('c.', 1911, 1912, '')",North London Girl,
P04443,R.B. Kitaj,"('', 1967, 1968, '')",The Defects of its Qualities,
T06542,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
N05076,Duncan Grant,"('', 1927, 1927, '')",Portrait of a Woman,
N05108,Sir William Coldstream,"('', 1939, 1939, '')",Man with a Beard,
N05699,Anthony Gross,"('', 1944, 1944, '')","Liberation and Battle of France: Cherbourg, Battalion H.Q. of the East Yorks",
T00322,William Roberts,"('', 1920, 1920, '')",Athletes Exercising in a Gymnasium,
P77434,David Smith,"('', 1952, 1952, '')",Don Quixote,
T00091,Keith Vaughan,"('', 1951, 1951, '')",Small Assembly of Figures,
P09132,John Piper,"('', 1978, 1978, '')",[no title],View by appointment
T06541,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
N03183,Walter Richard Sickert,"('c.', 1908, 1909, '')",Despair,View by appointment
P06399,Ben Nicholson OM,"('', 1973, 1973, '')",abstract 1936,View by appointment
P08169,Roger Fry,"('', 1930, 1930, '')","Rock-cut Church, Aubeterre",View by appointment
T02184,Naum Gabo,"('', 1949, 1949, '')","Model for the Esso Project, Radio City, New York",
T05703,Keith Vaughan,"('c.', 1943, 1943, '')",Communication of Hate,
P03014,Sir Frank Brangwyn,"('c.', 1917, 1917, '')",Making Sailors: The Gun,View by appointment
T01043,Mark Gertler,"('', 1925, 1925, '')",The Basket of Fruit,
T01100,William Roberts,"('', 1915, 1915, '')",Study for ‘Two Step’,
N04912,Walter Richard Sickert,"('c.', 1910, 1910, '')",Jacques-Emile Blanche,
T03124,Ivon Hitchens,"('', 1936, 1936, '')",Triangle to Beyond,
T13024,Harold Gilman,"('c.', 1910, 1911, '')",Madeleine Knox,"('Tate Britain', 'BP Walk through British Art')"
T06539,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
T01539,Gordon Onslow-Ford,"('', 1939, 1939, '')",Determination of Gender,
T00028,Spencer Gore,"('c.', 1912, 1912, '')",The Fig Tree,
N03810,Walter Richard Sickert,"('c.', 1901, 1901, '')","The Piazzetta and the Old Campanile, Venice",
N05697,Anthony Gross,"('', 1944, 1944, '')","Liberation and Battle of France: The Church of St Jean among the Ruins of Caen, Normandy",
T06457,Cecil Collins,"('', 1933, 1933, '')",Angel Images and Negative Spectres in Conflict,
P09135,John Piper,"('', 1978, 1978, '')",[no title],View by appointment
N05698,Anthony Gross,"('', 1944, 1944, '')",Liberation and Battle of France: The Fall of the Arsenal at Cherbourg,
P11658,James Boswell,"('', 1933, 1933, '')",The Fall of London: Through the City,
T03459,James Boswell,"('', 1937, 1937, '')",Le Sphinx,
N06226,Ossip Zadkine,"('c.', 1922, 1924, '')",Venus,
T00851,Henri Gaudier-Brzeska,"('c.', 1914, 1914, '')",Abstract Drawing,
P01937,Naum Gabo,"('c.', 1955, 1956, '')",[no title],View by appointment
P79090,Martin Kippenberger,"('', 1985, 1985, '')","I Could Lend You Something, but I Would Not be Doing You Any Favours",
T00893,Malcolm Drummond,"('c.', 1914, 1914, '')",Girl with Palmettes,
T00371,Raymond Duchamp-Villon,"('', 1913, 1913, ', posthumous cast')",The Lovers,
T06830,Renato Guttuso,"('', 1959, 1959, '')",Nude,
T00365,Henri Gaudier-Brzeska,"('', 1914, 1914, '')",Garden Ornament,
T07620,Paule Vézelay,"('', 1936, 1936, '')",Lines in Space No. 3,
N04076,Jack Butler Yeats,"('', 1925, 1925, '')",Back from the Races,
N05705,Frances Macdonald,"('', 1944, 1944, '')","Building the Mulberry Harbour, London Docks",
P77197,Keith Vaughan,"('', 1948, 1948, '')",Girl by a Row of Cottages,
T02168,Naum Gabo,"('c.', 1932, 1932, '')",Model for Monument for an Airport,
L01856,Dame Barbara Hepworth,"('', 1937, 1938, ', cast 1963')",Single Form (Eikon),"('Barbara Hepworth Museum and Sculpture Garden', 'Museum and Sculpture Garden')"
N05580,José Cardoso Junior,"('c.', 1935, 1940, '')",They Amuse Themselves,
N05088,Walter Richard Sickert,"('', 1910, 1911, '')",Rowlandson House - Sunset,
N05783,Harold Gilman,"('c.', 1907, 1907, '')",French Interior,
P03003,Sir Muirhead Bone,"('c.', 1917, 1917, '')",Building Ships: On the Stocks,
N05679,Edward Bawden,"('', 1940, 1940, '')",Gallabat: Guns Firing on Metemma,
N05096,Walter Richard Sickert,"('c.', 1900, 1900, '')","Sketch for ‘The Statue of Duquesne, Dieppe’",
T06812,Juan Gris,"('', 1924, 1924, '')",Pipe and Domino,
T01119,Natalya Goncharova,"('c.', 1912, 1913, '')",Rayonist Composition,
P11668,James Boswell,"('', 1939, 1939, '')",The Family,View by appointment
N03994,Douglas Fox Pitt,"('c.', 1916, 1918, '')","Concert on the West Pier, Brighton",
P11655,James Boswell,"('', 1933, 1933, '')",The Fall of London: The Horseguard,
T06832,Henri Laurens,"('c.', 1926, 1930, '')",Seated Woman,
T06809,Juan Gris,"('', 1920, 1920, '')",Seated Harlequin,
P07120,Edward Wadsworth,"('c.', 1915, 1915, '')",The Open Window,
P02275,John Piper,"('', 1953, 1953, '')",Drysllwyn Castle,View by appointment
T03123,Ivon Hitchens,"('', 1934, 1934, '')",Abstract Composition,
N05859,Spencer Gore,"('', 1910, 1910, '')",Inez and Taki,
T03956,Paule Vézelay,"('', 1959, 1959, '')",Eight Forms and Three Circles,
T01107,Sir William Coldstream,"('', 1944, 1944, '')","Casualty Reception Station, Capua",
T03099,Patrick George,"('', 1975, 1976, '')","Hickbush, the Grove I",
N06087,Walter Richard Sickert,"('c.', 1922, 1922, '')",Study for ‘L’Armoire à Glace’,View by appointment
T02186,Naum Gabo,"('', 1952, 1952, '')",First Model for a ‘Monument to the Unknown Political Prisoner’,
N06239,Stanislawa De Karlowska,"('exhibited ', 1914, 1914, '')",Swiss Cottage,
P03016,Sir Frank Brangwyn,"('c.', 1917, 1917, '')",Making Sailors: Boatdrill,View by appointment
T06536,Pierre Bonnard,"('c.', 1919, 1919, '')",Preparatory Sketch for ‘The Bowl of Milk’,View by appointment
N03716,Walter Taylor,"('c.', 1914, 1915, '')",Boodle’s Club,View by appointment
P09128,John Piper,"('', 1978, 1978, '')",[no title],View by appointment
T13190,Arthur Boyd,"('', 1960, 1960, '')",Bride Drinking from a Creek,
T06821,André Masson,"('', 1947, 1947, '')",Sirens,
P07010,David Bomberg,"('c.', 1914, 1919, '')",iii,
N05678,Edward Bawden,"('c.', 1941, 1941, '')","Cairo, the Citadel: On the Roof of the Officers’ Mess",
T02056,Ceri Richards,"('', 1936, 1936, '')",The Sculptor and his Object,
T06835,Albert Marquet,"('', 1908, 1908, ', ?1930s')",Bay of Naples,
T07708,André Fougeron,"('', 1937, 1937, '')",The Tournament,
T12996,Douglas Fox Pitt,"('c.', 1913, 1913, '')",Interior with Maid,View by appointment
N03621,Walter Richard Sickert,"('c.', 1903, 1904, '')",A Marengo,
P03181,Duncan Grant,"('', 1976, 1976, '')",Untitled,View by appointment
P03040,Eric Kennington,"('c.', 1917, 1917, '')",Making Soldiers: The Gas Mask,View by appointment
T05798,Julian Trevelyan,"('', 1933, 1933, '')",Basewall,
N06211,Robert Colquhoun,"('', 1945, 1945, '')",Woman with Leaping Cat,
T06547,Pierre Bonnard,"('', 1915, 1915, '')",Preparatory Sketch for ‘Coffee’,"('Tate Modern', 'Level 2: In the Studio')"
N05672,Edward Ardizzone,"('', 1941, 1941, '')","On a Fortified Island, the Night Watch",
